epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,4887.79,0.85155,0.47754,0.89595,0.8417,0.70909,0.79308,0.4801,1.19902,0.64729,0.9995,0.005842,0.005842,0.005842
44,5166.64,0.84207,0.47314,0.89152,0.82288,0.73937,0.79496,0.48529,1.19582,0.64244,0.99972,0.005743,0.005743,0.005743
45,5304.31,0.84034,0.47112,0.89075,0.84279,0.72283,0.79571,0.49025,1.19324,0.65213,0.99922,0.005644,0.005644,0.005644
46,5519.43,0.83255,0.4664,0.88886,0.84286,0.73432,0.79762,0.48913,1.19533,0.65227,1.00093,0.005545,0.005545,0.005545
47,5603.07,0.82648,0.46432,0.88852,0.82991,0.71281,0.79207,0.489,1.18676,0.64771,1.00101,0.005446,0.005446,0.005446
48,5781.35,0.8235,0.46141,0.88634,0.84404,0.70822,0.78359,0.48098,1.19034,0.6526,1.00039,0.005347,0.005347,0.005347
49,5866.75,0.82018,0.45981,0.88458,0.83104,0.71747,0.79092,0.48937,1.18812,0.65461,0.99811,0.005248,0.005248,0.005248
50,5952.15,0.81284,0.45745,0.88375,0.8349,0.72273,0.7872,0.48671,1.19689,0.65056,0.99898,0.005149,0.005149,0.005149
51,6036.42,0.81015,0.45549,0.88242,0.85195,0.71312,0.79147,0.48702,1.19064,0.65302,1.00119,0.00505,0.00505,0.00505
52,6219.8,0.80337,0.45183,0.88217,0.84039,0.7247,0.79024,0.4829,1.194,0.64599,1.00367,0.004951,0.004951,0.004951
53,6303.77,0.80102,0.45035,0.87981,0.84264,0.72838,0.7952,0.48948,1.19557,0.65728,1.00468,0.004852,0.004852,0.004852
54,6490.07,0.79256,0.44739,0.87891,0.83239,0.72875,0.79657,0.48678,1.19409,0.65196,1.0014,0.004753,0.004753,0.004753
55,6615.85,0.78802,0.44454,0.87825,0.83531,0.73756,0.79455,0.48487,1.1905,0.64691,1.00403,0.004654,0.004654,0.004654
56,6703.8,0.78712,0.44297,0.8769,0.83827,0.72637,0.79512,0.48578,1.19043,0.64321,1.00343,0.004555,0.004555,0.004555
57,6800.68,0.77917,0.44079,0.87551,0.8472,0.732,0.79842,0.48931,1.19366,0.64509,1.00464,0.004456,0.004456,0.004456
58,6938.22,0.77658,0.43685,0.87471,0.85129,0.7343,0.79453,0.48406,1.18795,0.64637,0.99924,0.004357,0.004357,0.004357
59,7036.39,0.77477,0.43697,0.87409,0.85534,0.71709,0.79376,0.48776,1.18975,0.64705,1.00019,0.004258,0.004258,0.004258
