epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
40,598.603,0.14412,1.07909,0.93401,0.73206,0.63788,0.65196,0.63912,0.24962,0.872,0.93071,4.66366e-05,4.66366e-05,4.66366e-05
41,615.537,0.14209,1.06842,0.93246,0.75763,0.65895,0.66405,0.65081,0.25225,0.85003,0.93251,4.51657e-05,4.51657e-05,4.51657e-05
42,631.201,0.13936,1.05451,0.93177,0.75109,0.66489,0.67478,0.66332,0.23439,0.85081,0.92422,4.36949e-05,4.36949e-05,4.36949e-05
43,646.811,0.13915,1.04312,0.93032,0.76712,0.67896,0.67718,0.66414,0.24564,0.83761,0.93135,4.2224e-05,4.2224e-05,4.2224e-05
44,662.217,0.13712,1.03261,0.93104,0.76434,0.66356,0.67398,0.6596,0.25376,0.83117,0.93476,4.07531e-05,4.07531e-05,4.07531e-05
45,677.696,0.13568,1.023,0.9291,0.76346,0.67076,0.68191,0.66687,0.25955,0.81374,0.93848,3.92823e-05,3.92823e-05,3.92823e-05
46,693.192,0.13597,1.01485,0.92908,0.76453,0.67573,0.69185,0.6784,0.24912,0.8036,0.937,3.78114e-05,3.78114e-05,3.78114e-05
47,708.8,0.13407,1.00374,0.92921,0.75099,0.68337,0.69801,0.68407,0.24677,0.80737,0.93119,3.63406e-05,3.63406e-05,3.63406e-05
48,724.237,0.13475,0.99727,0.92797,0.77178,0.68805,0.71133,0.69729,0.24492,0.79121,0.92394,3.48697e-05,3.48697e-05,3.48697e-05
49,739.568,0.13151,0.98222,0.92582,0.74902,0.69989,0.71546,0.70184,0.24219,0.76387,0.92836,3.33989e-05,3.33989e-05,3.33989e-05
50,755.011,0.13178,0.97768,0.92583,0.77006,0.68956,0.71661,0.70323,0.24069,0.75475,0.92604,3.1928e-05,3.1928e-05,3.1928e-05
51,770.557,0.13114,0.96546,0.92513,0.75519,0.71508,0.72717,0.71263,0.24419,0.74038,0.93294,3.04571e-05,3.04571e-05,3.04571e-05
52,786.157,0.13049,0.96759,0.9265,0.75663,0.69482,0.73129,0.71729,0.24029,0.7701,0.918,2.89863e-05,2.89863e-05,2.89863e-05
53,801.87,0.13095,0.95293,0.92627,0.7558,0.7123,0.73271,0.71966,0.22884,0.75579,0.91641,2.75154e-05,2.75154e-05,2.75154e-05
54,817.53,0.13052,0.94977,0.92518,0.73648,0.7202,0.74305,0.72763,0.24179,0.72992,0.92703,2.60446e-05,2.60446e-05,2.60446e-05
55,832.876,0.12817,0.95027,0.92459,0.76011,0.72693,0.75478,0.74187,0.23266,0.73081,0.92112,2.45737e-05,2.45737e-05,2.45737e-05
56,848.269,0.12785,0.94217,0.92395,0.77054,0.7092,0.74779,0.73341,0.24326,0.7088,0.93263,2.31029e-05,2.31029e-05,2.31029e-05
57,863.822,0.12834,0.94217,0.92391,0.78713,0.70615,0.74878,0.73402,0.24016,0.72588,0.92845,2.1632e-05,2.1632e-05,2.1632e-05
58,879.26,0.12728,0.93578,0.9245,0.76497,0.71842,0.75661,0.74112,0.2417,0.72204,0.93467,2.01611e-05,2.01611e-05,2.01611e-05
59,894.704,0.12691,0.9295,0.92077,0.75688,0.72928,0.76101,0.74469,0.24646,0.70056,0.9382,1.86903e-05,1.86903e-05,1.86903e-05
60,910.03,0.12605,0.92367,0.92249,0.77893,0.72046,0.76711,0.7532,0.23343,0.69993,0.92752,1.72194e-05,1.72194e-05,1.72194e-05
61,943.379,0.2207,0.88161,1.00092,0.77605,0.70654,0.75336,0.74705,0.33956,0.85047,1.00324,1.57486e-05,1.57486e-05,1.57486e-05
62,958.915,0.12713,0.70705,0.94567,0.7758,0.68749,0.75104,0.74697,0.22714,0.78887,0.88417,1.42777e-05,1.42777e-05,1.42777e-05
63,974.657,0.10409,0.63995,0.93449,0.79373,0.69769,0.76182,0.75907,0.2047,0.74473,0.86506,1.28069e-05,1.28069e-05,1.28069e-05
64,990.117,0.0952,0.60487,0.92556,0.79491,0.71725,0.76454,0.76181,0.18519,0.69332,0.85446,1.1336e-05,1.1336e-05,1.1336e-05
65,1005.71,0.0909,0.58592,0.92215,0.8049,0.71925,0.76806,0.76541,0.17683,0.6664,0.85844,9.86514e-06,9.86514e-06,9.86514e-06
66,1021.53,0.08857,0.57,0.91818,0.81616,0.72578,0.77548,0.77264,0.1758,0.65696,0.86036,8.39429e-06,8.39429e-06,8.39429e-06
67,1037.09,0.08666,0.56452,0.91978,0.81956,0.73501,0.78867,0.78501,0.17742,0.64314,0.86367,6.92343e-06,6.92343e-06,6.92343e-06
68,1052.46,0.08542,0.55463,0.918,0.83384,0.72043,0.7907,0.78732,0.17653,0.63865,0.86374,5.45257e-06,5.45257e-06,5.45257e-06
69,1067.88,0.08366,0.54972,0.91969,0.80262,0.76329,0.79547,0.79213,0.17651,0.62959,0.86522,3.98171e-06,3.98171e-06,3.98171e-06
70,1083.28,0.08217,0.54625,0.9191,0.80352,0.7701,0.79598,0.79258,0.176,0.62764,0.86549,2.51086e-06,2.51086e-06,2.51086e-06
